"area";"corr";"jsd"
0.0274391888968576;0.298535147840765;0.000725730585246315
0.0569225736691541;-0.474355427779676;0.000624877047031205
0.0277070029363841;0.891436435967785;0.000160796756743882
0.0350943174007007;0.951039634326545;0.00136976407203553
0.0636181819913038;0.859246850875183;0.0109426739976918
0.0207181843207481;0.792686682892981;0.00143989091806088
0.0563230573370053;0.803214666943649;0.00154644239063811
0.0607427867175964;0.921081875324529;0.00570379518737309
0.0463488339133993;0.222929270952542;0.000618631784716862
0.0306552967447396;0.908492349885562;0.000407809770559545
0.0305662654424756;-0.815946645907768;0.0120108328224753
0.0646478120857653;0.92803285388558;0.00103520229537938
0.0439260438569053;0.413804431519418;0.00199760362782406
0.0254119512861427;-0.908733129475683;0.00244210618413456
0.0827999648061236;-0.59459005145063;0.0174872223367599
